代码,名称,2026-04-28_换手,2026-04-28_成交额拥挤,2026-04-29_换手,2026-04-29_成交额拥挤,2026-04-30_换手,2026-04-30_成交额拥挤,2026-05-06_换手,2026-05-06_成交额拥挤,2026-05-07_换手,2026-05-07_成交额拥挤,2026-05-08_换手,2026-05-08_成交额拥挤,2026-05-11_换手,2026-05-11_成交额拥挤,2026-05-12_换手,2026-05-12_成交额拥挤,2026-05-13_换手,2026-05-13_成交额拥挤,2026-05-14_换手,2026-05-14_成交额拥挤,2026-05-15_换手,2026-05-15_成交额拥挤,2026-05-18_换手,2026-05-18_成交额拥挤,2026-05-19_换手,2026-05-19_成交额拥挤,2026-05-20_换手,2026-05-20_成交额拥挤,2026-05-21_换手,2026-05-21_成交额拥挤,2026-05-22_换手,2026-05-22_成交额拥挤,2026-05-25_换手,2026-05-25_成交额拥挤,2026-05-26_换手,2026-05-26_成交额拥挤,2026-05-27_换手,2026-05-27_成交额拥挤,2026-05-28_换手,2026-05-28_成交额拥挤,2026-05-29_换手,2026-05-29_成交额拥挤,2026-06-01_换手,2026-06-01_成交额拥挤,2026-06-02_换手,2026-06-02_成交额拥挤,2026-06-03_换手,2026-06-03_成交额拥挤,2026-06-04_换手,2026-06-04_成交额拥挤,2026-06-05_换手,2026-06-05_成交额拥挤,2026-06-08_换手,2026-06-08_成交额拥挤,2026-06-09_换手,2026-06-09_成交额拥挤,2026-06-10_换手,2026-06-10_成交额拥挤
801983.SI,医疗美容,14.0,88.0,7.0,44.0,16.0,89.0,16.0,45.0,11.0,48.0,13.0,91.0,39.0,88.0,21.0,88.0,40.0,98.0,21.0,87.0,34.0,87.0,25.0,88.0,4.0,23.0,13.0,88.0,16.0,24.0,9.0,25.0,23.0,26.0,27.0,89.0,40.0,89.0,34.0,89.0,50.0,98.0,22.0,88.0,10.0,25.0,14.0,26.0,14.0,88.0,13.0,27.0,21.0,89.0,6.0,28.0,13.0,29.0
801982.SI,化妆品,85.0,36.0,71.0,23.0,63.0,12.0,75.0,12.0,72.0,8.0,77.0,12.0,83.0,17.0,73.0,12.0,72.0,12.0,69.0,8.0,67.0,8.0,62.0,8.0,61.0,8.0,61.0,4.0,68.0,4.0,59.0,12.0,74.0,8.0,62.0,4.0,63.0,4.0,64.0,4.0,70.0,12.0,78.0,30.0,77.0,17.0,71.0,12.0,69.0,17.0,70.0,12.0,67.0,12.0,55.0,8.0,53.0,8.0
801981.SI,个护用品,69.0,41.0,64.0,28.0,55.0,17.0,74.0,28.0,65.0,28.0,68.0,28.0,71.0,17.0,78.0,28.0,60.0,17.0,60.0,8.0,60.0,17.0,53.0,17.0,32.0,2.0,75.0,28.0,73.0,17.0,50.0,8.0,46.0,2.0,54.0,8.0,55.0,8.0,47.0,8.0,55.0,8.0,62.0,8.0,53.0,9.0,42.0,2.0,50.0,9.0,51.0,9.0,53.0,9.0,43.0,9.0,40.0,2.0
801972.SI,环保设备Ⅱ,79.0,86.0,84.0,93.0,94.0,91.0,98.0,95.0,94.0,94.0,91.0,94.0,90.0,92.0,91.0,92.0,96.0,95.0,96.0,93.0,93.0,84.0,86.0,82.0,82.0,80.0,90.0,84.0,96.0,88.0,93.0,89.0,91.0,84.0,88.0,80.0,84.0,74.0,76.0,64.0,79.0,56.0,76.0,56.0,79.0,71.0,85.0,82.0,70.0,74.0,84.0,85.0,81.0,82.0,82.0,84.0,81.0,80.0
801971.SI,环境治理,83.0,30.0,86.0,33.0,85.0,27.0,87.0,20.0,86.0,24.0,85.0,26.0,87.0,15.0,83.0,16.0,84.0,20.0,85.0,17.0,83.0,15.0,76.0,21.0,72.0,17.0,69.0,11.0,78.0,8.0,69.0,9.0,72.0,8.0,70.0,9.0,74.0,9.0,66.0,7.0,72.0,7.0,77.0,14.0,64.0,8.0,61.0,5.0,57.0,8.0,63.0,4.0,75.0,9.0,58.0,5.0,59.0,5.0
801963.SI,炼化及贸易,90.0,30.0,87.0,35.0,86.0,20.0,90.0,13.0,94.0,22.0,88.0,12.0,87.0,7.0,81.0,4.0,84.0,5.0,80.0,5.0,79.0,7.0,77.0,7.0,64.0,2.0,81.0,3.0,86.0,4.0,73.0,4.0,77.0,2.0,76.0,3.0,80.0,3.0,73.0,3.0,76.0,2.0,72.0,9.0,64.0,7.0,58.0,3.0,61.0,3.0,81.0,10.0,79.0,12.0,64.0,7.0,58.0,2.0
801962.SI,油服工程,84.0,36.0,92.0,41.0,90.0,41.0,92.0,36.0,89.0,33.0,87.0,28.0,84.0,19.0,66.0,9.0,73.0,13.0,76.0,9.0,83.0,13.0,92.0,45.0,92.0,36.0,94.0,36.0,91.0,31.0,84.0,20.0,89.0,23.0,84.0,13.0,81.0,9.0,79.0,13.0,74.0,6.0,63.0,9.0,82.0,16.0,87.0,20.0,80.0,24.0,75.0,6.0,87.0,31.0,88.0,34.0,72.0,16.0
801961.SI,油气开采Ⅱ,84.0,6.0,66.0,11.0,64.0,5.0,67.0,10.0,72.0,24.0,57.0,5.0,54.0,4.0,54.0,6.0,44.0,2.0,42.0,4.0,46.0,11.0,70.0,13.0,63.0,12.0,90.0,33.0,75.0,15.0,40.0,5.0,69.0,18.0,84.0,21.0,80.0,22.0,70.0,19.0,38.0,6.0,48.0,14.0,42.0,15.0,87.0,37.0,70.0,23.0,68.0,24.0,73.0,39.0,71.0,35.0,59.0,25.0
801952.SI,焦炭Ⅱ,68.0,10.0,77.0,10.0,60.0,5.0,69.0,5.0,79.0,10.0,55.0,2.0,60.0,2.0,60.0,2.0,55.0,2.0,57.0,2.0,51.0,2.0,48.0,2.0,43.0,2.0,47.0,2.0,58.0,2.0,39.0,2.0,74.0,6.0,59.0,2.0,50.0,2.0,62.0,6.0,73.0,6.0,89.0,19.0,89.0,19.0,90.0,15.0,97.0,33.0,98.0,28.0,94.0,24.0,90.0,20.0,84.0,10.0
801951.SI,煤炭开采,78.0,29.0,81.0,32.0,75.0,19.0,75.0,15.0,82.0,23.0,70.0,14.0,72.0,9.0,65.0,6.0,70.0,8.0,79.0,8.0,74.0,11.0,73.0,16.0,71.0,11.0,71.0,8.0,73.0,6.0,60.0,7.0,83.0,22.0,75.0,9.0,77.0,13.0,78.0,18.0,86.0,24.0,96.0,57.0,98.0,63.0,98.0,50.0,97.0,60.0,97.0,41.0,96.0,47.0,93.0,40.0,91.0,34.0
801102.SI,通信设备,89.0,98.0,86.0,94.0,86.0,95.0,95.0,97.0,97.0,98.0,95.0,97.0,98.0,99.0,98.0,99.0,98.0,98.0,97.0,99.0,97.0,98.0,88.0,98.0,91.0,98.0,91.0,98.0,96.0,96.0,86.0,97.0,88.0,97.0,90.0,97.0,87.0,96.0,89.0,98.0,95.0,99.0,86.0,98.0,88.0,100.0,98.0,100.0,92.0,100.0,98.0,100.0,95.0,100.0,91.0,100.0,86.0,99.0
801223.SI,通信服务,93.0,83.0,92.0,85.0,88.0,77.0,94.0,88.0,92.0,81.0,93.0,84.0,97.0,91.0,94.0,88.0,97.0,95.0,97.0,93.0,96.0,95.0,96.0,97.0,97.0,97.0,98.0,93.0,98.0,88.0,94.0,82.0,96.0,81.0,95.0,79.0,92.0,76.0,87.0,73.0,89.0,71.0,86.0,70.0,90.0,74.0,93.0,72.0,85.0,71.0,87.0,70.0,86.0,71.0,84.0,68.0,87.0,74.0
801995.SI,电视广播Ⅱ,50.0,24.0,54.0,18.0,46.0,9.0,52.0,9.0,64.0,15.0,57.0,15.0,72.0,15.0,58.0,12.0,55.0,12.0,66.0,15.0,55.0,9.0,76.0,24.0,85.0,30.0,86.0,35.0,85.0,30.0,77.0,27.0,80.0,30.0,83.0,36.0,81.0,24.0,75.0,24.0,63.0,12.0,58.0,12.0,62.0,18.0,64.0,15.0,64.0,18.0,55.0,9.0,61.0,15.0,42.0,6.0,49.0,9.0
801769.SI,出版,61.0,18.0,64.0,21.0,49.0,12.0,74.0,23.0,74.0,30.0,68.0,27.0,75.0,19.0,64.0,18.0,67.0,18.0,67.0,19.0,62.0,15.0,68.0,25.0,59.0,15.0,63.0,16.0,64.0,10.0,44.0,7.0,51.0,6.0,56.0,9.0,62.0,21.0,53.0,16.0,63.0,14.0,77.0,29.0,61.0,13.0,70.0,16.0,51.0,12.0,57.0,9.0,64.0,14.0,58.0,13.0,65.0,22.0
801767.SI,数字媒体,62.0,14.0,58.0,9.0,57.0,21.0,68.0,14.0,78.0,29.0,75.0,25.0,77.0,17.0,72.0,11.0,61.0,7.0,71.0,11.0,64.0,9.0,68.0,11.0,93.0,45.0,88.0,36.0,87.0,21.0,80.0,17.0,78.0,14.0,72.0,9.0,68.0,9.0,78.0,18.0,77.0,14.0,81.0,29.0,85.0,49.0,78.0,29.0,68.0,25.0,87.0,42.0,94.0,54.0,94.0,57.0,94.0,63.0
801766.SI,影视院线,77.0,13.0,73.0,8.0,69.0,6.0,88.0,16.0,86.0,15.0,78.0,10.0,80.0,7.0,81.0,15.0,83.0,12.0,80.0,8.0,76.0,6.0,79.0,9.0,89.0,19.0,74.0,6.0,76.0,3.0,76.0,6.0,71.0,3.0,79.0,4.0,92.0,15.0,92.0,15.0,90.0,8.0,91.0,19.0,91.0,15.0,84.0,5.0,83.0,7.0,86.0,6.0,86.0,12.0,84.0,9.0,87.0,14.0
801765.SI,广告营销,62.0,35.0,77.0,55.0,74.0,37.0,80.0,51.0,89.0,79.0,96.0,88.0,90.0,61.0,79.0,46.0,75.0,45.0,82.0,47.0,90.0,56.0,81.0,56.0,92.0,80.0,82.0,55.0,84.0,40.0,64.0,28.0,72.0,24.0,72.0,25.0,68.0,16.0,67.0,23.0,88.0,54.0,94.0,81.0,93.0,66.0,83.0,35.0,75.0,26.0,77.0,21.0,68.0,16.0,72.0,37.0,77.0,35.0
801764.SI,游戏Ⅱ,63.0,25.0,63.0,23.0,60.0,23.0,61.0,15.0,67.0,19.0,77.0,24.0,70.0,14.0,61.0,9.0,51.0,6.0,61.0,11.0,54.0,6.0,55.0,7.0,59.0,6.0,49.0,4.0,57.0,3.0,39.0,2.0,50.0,4.0,50.0,4.0,44.0,2.0,36.0,2.0,32.0,1.0,42.0,5.0,35.0,3.0,26.0,1.0,28.0,1.0,45.0,3.0,49.0,3.0,36.0,2.0,40.0,2.0
801104.SI,软件开发,58.0,32.0,54.0,22.0,60.0,26.0,75.0,39.0,69.0,31.0,74.0,41.0,75.0,34.0,61.0,26.0,61.0,22.0,65.0,23.0,64.0,20.0,60.0,21.0,68.0,28.0,62.0,22.0,78.0,39.0,67.0,34.0,75.0,34.0,72.0,34.0,62.0,25.0,61.0,28.0,66.0,21.0,71.0,38.0,61.0,29.0,61.0,25.0,53.0,24.0,58.0,18.0,65.0,21.0,62.0,21.0,66.0,25.0
801103.SI,IT服务Ⅱ,70.0,40.0,67.0,34.0,65.0,28.0,88.0,48.0,84.0,48.0,84.0,51.0,90.0,49.0,80.0,32.0,83.0,51.0,82.0,40.0,77.0,33.0,71.0,35.0,83.0,51.0,79.0,42.0,87.0,38.0,69.0,27.0,76.0,30.0,74.0,27.0,69.0,21.0,69.0,22.0,74.0,23.0,73.0,28.0,69.0,26.0,70.0,23.0,58.0,18.0,62.0,18.0,64.0,20.0,62.0,23.0,72.0,31.0
801101.SI,计算机设备,70.0,60.0,65.0,44.0,67.0,64.0,82.0,58.0,80.0,64.0,80.0,75.0,88.0,69.0,84.0,74.0,85.0,72.0,85.0,73.0,81.0,58.0,75.0,61.0,75.0,65.0,73.0,56.0,82.0,55.0,70.0,44.0,71.0,42.0,69.0,37.0,73.0,33.0,65.0,33.0,69.0,33.0,61.0,36.0,59.0,29.0,57.0,31.0,55.0,27.0,60.0,29.0,68.0,34.0,53.0,19.0,55.0,31.0
801745.SI,军工电子Ⅱ,77.0,84.0,63.0,67.0,80.0,85.0,86.0,83.0,78.0,74.0,90.0,88.0,93.0,92.0,86.0,87.0,80.0,80.0,80.0,75.0,73.0,62.0,75.0,73.0,80.0,78.0,76.0,72.0,85.0,76.0,76.0,75.0,85.0,83.0,84.0,77.0,79.0,75.0,78.0,80.0,88.0,83.0,67.0,66.0,76.0,78.0,84.0,84.0,76.0,84.0,88.0,88.0,85.0,86.0,80.0,82.0,80.0,82.0
801744.SI,航海装备Ⅱ,88.0,86.0,72.0,59.0,83.0,81.0,82.0,71.0,75.0,51.0,80.0,60.0,74.0,43.0,72.0,43.0,76.0,53.0,75.0,39.0,65.0,32.0,65.0,57.0,59.0,36.0,56.0,36.0,65.0,34.0,52.0,32.0,49.0,20.0,52.0,22.0,50.0,29.0,43.0,20.0,51.0,18.0,35.0,15.0,41.0,18.0,34.0,8.0,40.0,24.0,58.0,22.0,58.0,26.0,45.0,24.0,47.0,22.0
801743.SI,地面兵装Ⅱ,58.0,19.0,49.0,9.0,53.0,9.0,65.0,13.0,68.0,16.0,81.0,37.0,70.0,16.0,91.0,55.0,79.0,31.0,76.0,26.0,70.0,16.0,54.0,9.0,50.0,5.0,58.0,13.0,68.0,7.0,49.0,7.0,67.0,16.0,62.0,13.0,54.0,7.0,65.0,23.0,75.0,37.0,61.0,19.0,58.0,19.0,64.0,27.0,52.0,16.0,64.0,19.0,61.0,16.0,50.0,13.0,70.0,27.0
801742.SI,航空装备Ⅱ,78.0,65.0,75.0,58.0,81.0,58.0,85.0,61.0,78.0,60.0,88.0,77.0,89.0,71.0,85.0,76.0,80.0,72.0,87.0,66.0,82.0,55.0,71.0,49.0,74.0,46.0,71.0,41.0,80.0,52.0,71.0,58.0,74.0,63.0,63.0,44.0,57.0,39.0,68.0,56.0,71.0,49.0,62.0,42.0,54.0,30.0,51.0,26.0,44.0,28.0,59.0,29.0,60.0,37.0,41.0,26.0,49.0,35.0
801741.SI,航天装备Ⅱ,64.0,64.0,59.0,54.0,76.0,76.0,86.0,76.0,80.0,70.0,98.0,95.0,96.0,88.0,89.0,76.0,85.0,70.0,89.0,79.0,81.0,65.0,77.0,60.0,84.0,71.0,74.0,49.0,84.0,45.0,68.0,38.0,74.0,45.0,71.0,41.0,69.0,37.0,60.0,34.0,71.0,39.0,55.0,28.0,53.0,34.0,68.0,49.0,48.0,32.0,85.0,73.0,85.0,72.0,73.0,58.0,72.0,46.0
801078.SI,自动化设备,69.0,95.0,72.0,95.0,83.0,98.0,85.0,96.0,87.0,97.0,89.0,99.0,93.0,98.0,89.0,98.0,86.0,97.0,90.0,98.0,96.0,99.0,96.0,100.0,94.0,100.0,93.0,100.0,98.0,100.0,94.0,100.0,95.0,99.0,96.0,100.0,95.0,100.0,91.0,99.0,93.0,99.0,84.0,99.0,82.0,98.0,90.0,100.0,87.0,99.0,96.0,100.0,94.0,100.0,91.0,100.0,91.0,100.0
801077.SI,工程机械,81.0,52.0,72.0,37.0,77.0,37.0,84.0,31.0,83.0,28.0,88.0,41.0,94.0,63.0,86.0,39.0,75.0,13.0,80.0,11.0,82.0,19.0,75.0,28.0,68.0,8.0,77.0,13.0,82.0,23.0,67.0,11.0,71.0,13.0,70.0,11.0,70.0,11.0,67.0,9.0,69.0,21.0,58.0,15.0,58.0,8.0,57.0,3.0,45.0,5.0,69.0,15.0,81.0,57.0,69.0,25.0,79.0,31.0
801076.SI,轨交设备Ⅱ,83.0,65.0,82.0,60.0,82.0,70.0,88.0,56.0,79.0,51.0,70.0,40.0,80.0,48.0,76.0,63.0,79.0,65.0,77.0,65.0,74.0,44.0,70.0,44.0,65.0,40.0,60.0,33.0,71.0,33.0,64.0,44.0,70.0,37.0,82.0,40.0,73.0,37.0,62.0,25.0,72.0,44.0,69.0,37.0,57.0,29.0,60.0,29.0,66.0,48.0,69.0,44.0,78.0,48.0,74.0,51.0,76.0,51.0
801074.SI,专用设备,88.0,16.0,90.0,15.0,87.0,20.0,92.0,19.0,90.0,17.0,90.0,20.0,94.0,20.0,89.0,17.0,87.0,19.0,88.0,18.0,90.0,19.0,88.0,28.0,82.0,22.0,83.0,30.0,91.0,21.0,85.0,23.0,87.0,20.0,87.0,21.0,85.0,19.0,79.0,17.0,86.0,17.0,78.0,17.0,76.0,19.0,75.0,15.0,74.0,22.0,83.0,21.0,84.0,24.0,77.0,25.0,79.0,33.0
801072.SI,通用设备,80.0,86.0,82.0,85.0,80.0,84.0,90.0,85.0,93.0,92.0,95.0,96.0,96.0,93.0,94.0,94.0,94.0,94.0,94.0,93.0,97.0,97.0,94.0,98.0,93.0,97.0,93.0,98.0,97.0,98.0,93.0,98.0,93.0,97.0,94.0,97.0,92.0,94.0,86.0,92.0,90.0,92.0,83.0,86.0,84.0,89.0,87.0,89.0,84.0,92.0,94.0,95.0,94.0,97.0,91.0,98.0,89.0,97.0
801738.SI,电网设备,90.0,88.0,89.0,82.0,88.0,76.0,91.0,78.0,93.0,78.0,91.0,80.0,96.0,86.0,98.0,96.0,100.0,99.0,99.0,95.0,95.0,88.0,90.0,81.0,95.0,91.0,93.0,88.0,95.0,81.0,83.0,65.0,91.0,77.0,91.0,70.0,91.0,78.0,89.0,78.0,95.0,82.0,90.0,86.0,92.0,84.0,91.0,75.0,86.0,77.0,86.0,70.0,85.0,76.0,75.0,64.0,76.0,64.0
801737.SI,电池,91.0,97.0,99.0,100.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,98.0,96.0,93.0,92.0,93.0,90.0,90.0,91.0,90.0,90.0,87.0,87.0,87.0,86.0,84.0,90.0,92.0,95.0,90.0,89.0,88.0,91.0,89.0,88.0,84.0,87.0,90.0,87.0,90.0,93.0,91.0,87.0,90.0,85.0,88.0,81.0,82.0,80.0,88.0,83.0,80.0,79.0,82.0,77.0,85.0,74.0,80.0
801736.SI,风电设备,90.0,90.0,90.0,88.0,91.0,94.0,92.0,89.0,92.0,88.0,91.0,88.0,93.0,87.0,90.0,85.0,91.0,84.0,88.0,85.0,89.0,82.0,90.0,84.0,82.0,79.0,85.0,79.0,89.0,80.0,78.0,76.0,83.0,79.0,84.0,82.0,82.0,80.0,74.0,77.0,77.0,73.0,68.0,69.0,66.0,66.0,65.0,59.0,73.0,69.0,74.0,64.0,71.0,69.0,59.0,61.0,71.0,67.0
801735.SI,光伏设备,76.0,78.0,81.0,83.0,73.0,72.0,78.0,70.0,84.0,71.0,84.0,70.0,89.0,72.0,90.0,73.0,87.0,74.0,96.0,81.0,97.0,88.0,84.0,80.0,80.0,78.0,87.0,84.0,93.0,78.0,85.0,78.0,85.0,75.0,83.0,77.0,86.0,81.0,80.0,78.0,84.0,74.0,74.0,71.0,75.0,70.0,73.0,67.0,75.0,72.0,84.0,73.0,78.0,69.0,72.0,69.0,79.0,74.0
801733.SI,其他电源设备Ⅱ,75.0,23.0,71.0,24.0,83.0,32.0,88.0,30.0,84.0,29.0,81.0,25.0,91.0,31.0,86.0,26.0,98.0,48.0,98.0,44.0,96.0,36.0,91.0,38.0,87.0,34.0,78.0,30.0,90.0,26.0,71.0,22.0,81.0,29.0,86.0,30.0,87.0,34.0,85.0,31.0,91.0,26.0,84.0,32.0,85.0,33.0,86.0,35.0,82.0,33.0,74.0,26.0,71.0,29.0,96.0,40.0,91.0,39.0
801731.SI,电机Ⅱ,71.0,80.0,70.0,82.0,68.0,82.0,73.0,72.0,85.0,79.0,94.0,90.0,90.0,80.0,84.0,75.0,81.0,69.0,77.0,66.0,98.0,88.0,98.0,92.0,95.0,89.0,88.0,83.0,97.0,89.0,96.0,88.0,96.0,86.0,98.0,94.0,94.0,87.0,90.0,85.0,90.0,76.0,71.0,67.0,85.0,76.0,82.0,69.0,73.0,69.0,90.0,82.0,87.0,83.0,73.0,75.0,75.0,77.0
801726.SI,工程咨询服务Ⅱ,71.0,61.0,77.0,61.0,77.0,63.0,84.0,67.0,82.0,69.0,80.0,65.0,83.0,63.0,78.0,73.0,72.0,76.0,71.0,69.0,70.0,65.0,73.0,76.0,69.0,69.0,62.0,74.0,71.0,69.0,60.0,63.0,61.0,61.0,61.0,61.0,69.0,78.0,65.0,71.0,76.0,69.0,76.0,81.0,69.0,81.0,68.0,78.0,58.0,65.0,68.0,83.0,72.0,78.0,61.0,74.0,64.0,80.0
801724.SI,专业工程,65.0,23.0,66.0,23.0,62.0,13.0,86.0,25.0,84.0,27.0,88.0,30.0,85.0,19.0,76.0,14.0,80.0,16.0,76.0,11.0,79.0,13.0,68.0,10.0,82.0,23.0,85.0,28.0,83.0,13.0,67.0,11.0,68.0,9.0,71.0,10.0,76.0,11.0,69.0,11.0,74.0,10.0,58.0,7.0,61.0,6.0,65.0,6.0,63.0,10.0,71.0,15.0,58.0,10.0,43.0,3.0,69.0,35.0
801723.SI,基础建设,68.0,29.0,75.0,27.0,81.0,28.0,75.0,16.0,87.0,47.0,84.0,53.0,89.0,43.0,90.0,43.0,84.0,39.0,84.0,45.0,84.0,32.0,79.0,33.0,76.0,24.0,76.0,23.0,88.0,21.0,79.0,19.0,82.0,17.0,73.0,13.0,73.0,13.0,78.0,18.0,85.0,17.0,79.0,16.0,82.0,17.0,79.0,13.0,76.0,16.0,76.0,13.0,79.0,18.0,72.0,17.0,72.0,16.0
801722.SI,装修装饰Ⅱ,89.0,54.0,87.0,43.0,82.0,51.0,83.0,33.0,91.0,49.0,91.0,59.0,86.0,51.0,84.0,54.0,92.0,66.0,82.0,48.0,90.0,57.0,82.0,43.0,73.0,46.0,82.0,43.0,83.0,36.0,69.0,25.0,78.0,33.0,74.0,26.0,72.0,22.0,72.0,22.0,73.0,26.0,69.0,49.0,82.0,59.0,79.0,43.0,74.0,37.0,60.0,18.0,77.0,18.0,74.0,18.0,64.0,10.0
801721.SI,房屋建设Ⅱ,82.0,5.0,94.0,20.0,89.0,12.0,90.0,12.0,86.0,7.0,75.0,2.0,77.0,5.0,83.0,3.0,82.0,2.0,84.0,3.0,78.0,3.0,76.0,3.0,68.0,0.0,77.0,2.0,77.0,1.0,61.0,0.0,68.0,0.0,64.0,0.0,62.0,0.0,74.0,2.0,79.0,4.0,67.0,1.0,68.0,1.0,66.0,1.0,61.0,1.0,59.0,0.0,62.0,0.0,59.0,0.0,58.0,1.0
