代码,名称,一级行业,成份数,日期,收盘价,涨跌幅(%),3日涨跌(%),5日涨跌(%),10日涨跌(%),20日涨跌(%),成交量(亿手),成交额(亿元)
801782.SI,国有大型银行Ⅱ,银行,6,2026-06-23,1915.9,2.47,0.59,-1.86,-0.67,2.41,20.92,139.8
801151.SI,化学制药,医药生物,151,2026-06-23,10933.67,2.17,4.2,1.42,4.03,-5.58,27.88,463.12
801018.SI,动物保健Ⅱ,农林牧渔,10,2026-06-23,4215.34,1.94,2.12,0.25,5.57,-4.1,2.75,17.65
801981.SI,个护用品,美容护理,12,2026-06-23,1206.3,1.69,0.21,-2.8,0.43,-6.28,0.63,8.96
801152.SI,生物制品,医药生物,51,2026-06-23,5125.29,1.68,2.82,1.05,1.98,-8.84,7.57,128.06
801015.SI,渔业,农林牧渔,6,2026-06-23,650.15,1.68,0.06,-1.99,-3.66,-10.13,0.99,3.43
801154.SI,医药商业,医药生物,32,2026-06-23,4389.01,1.66,0.86,-1.88,-0.84,-6.65,5.2,45.7
801131.SI,纺织制造,纺织服饰,33,2026-06-23,1717.66,1.6,2.28,1.19,3.2,-6.73,4.75,39.03
801132.SI,服装家纺,纺织服饰,59,2026-06-23,1535.62,1.59,0.44,-1.39,0.98,-5.91,9.08,75.72
801785.SI,农商行Ⅱ,银行,10,2026-06-23,757.09,1.58,-0.85,-3.2,-2.21,-2.19,3.88,19.52
801952.SI,焦炭Ⅱ,煤炭,7,2026-06-23,1149.4,1.4,-1.54,-6.17,-14.0,-9.86,2.79,8.95
801155.SI,中药Ⅱ,医药生物,66,2026-06-23,5357.21,1.33,0.56,-2.18,-1.89,-5.13,12.02,107.12
801129.SI,调味发酵品Ⅱ,食品饮料,14,2026-06-23,6802.7,1.29,1.01,1.08,4.15,-2.96,4.53,70.31
801992.SI,航运港口,交通运输,34,2026-06-23,3367.06,1.23,2.46,1.22,6.15,-3.16,16.92,142.02
801784.SI,城商行Ⅱ,银行,17,2026-06-23,1024.59,1.18,-1.26,-3.47,-1.23,0.18,9.27,73.71
801219.SI,酒店餐饮,社会服务,9,2026-06-23,1456.54,1.13,-2.18,-5.1,-3.62,-8.0,0.99,8.7
801014.SI,饲料,农林牧渔,17,2026-06-23,3326.71,1.13,0.45,-3.67,-3.05,-9.7,2.81,21.36
801993.SI,旅游及景区,社会服务,24,2026-06-23,1902.75,1.05,-0.42,-5.03,-3.57,-6.41,2.78,24.49
801881.SI,摩托车及其他,汽车,16,2026-06-23,3106.95,0.95,0.99,-1.9,-2.34,-12.42,1.2,22.79
801128.SI,休闲食品,食品饮料,22,2026-06-23,1620.44,0.95,-1.81,-6.11,-6.85,-12.15,1.65,19.14
801183.SI,房地产服务,房地产,11,2026-06-23,745.83,0.94,-1.02,-5.5,-6.88,-14.37,2.51,9.4
801163.SI,燃气Ⅱ,公用事业,29,2026-06-23,3116.07,0.77,1.36,-0.76,-0.79,-7.04,5.27,61.85
801092.SI,汽车服务,汽车,10,2026-06-23,470.84,0.7,-2.07,-2.64,-1.25,-7.36,1.65,12.81
801156.SI,医疗服务,医药生物,51,2026-06-23,6341.14,0.6,6.86,6.05,9.02,-2.01,10.44,220.48
801179.SI,铁路公路,交通运输,33,2026-06-23,1479.31,0.42,-0.68,-1.88,-2.88,-7.03,7.35,38.02
801033.SI,化学原料,基础化工,57,2026-06-23,3498.32,0.39,4.01,2.4,6.17,-0.27,19.95,298.36
801153.SI,医疗器械,医药生物,129,2026-06-23,5632.28,0.39,-0.65,-1.62,-0.54,-10.15,9.25,239.64
801193.SI,证券Ⅱ,非银金融,50,2026-06-23,6456.75,0.39,4.88,5.84,13.1,7.97,78.69,997.77
801766.SI,影视院线,传媒,19,2026-06-23,1055.38,0.36,0.93,-2.28,-5.26,-12.88,8.56,73.87
801037.SI,橡胶,基础化工,17,2026-06-23,5402.0,0.35,3.27,6.45,11.77,-3.45,3.87,69.27
801203.SI,一般零售,商贸零售,59,2026-06-23,2651.4,0.29,-2.16,-3.83,-5.34,-11.47,15.48,83.85
801142.SI,家居用品,轻工制造,72,2026-06-23,1654.75,0.27,-0.54,-2.42,-2.98,-10.87,5.91,73.45
801114.SI,厨卫电器,家用电器,9,2026-06-23,7706.78,0.24,-1.38,-4.19,-3.61,-12.38,0.62,7.27
801216.SI,体育Ⅱ,社会服务,2,2024-06-17,1577.85,0.2,-4.03,-3.02,-7.27,-10.16,0.26,1.85
801178.SI,物流,交通运输,47,2026-06-23,3964.19,0.14,-1.02,-3.8,-3.92,-9.7,6.11,50.37
801141.SI,包装印刷,轻工制造,41,2026-06-23,3068.39,0.14,0.73,0.77,1.21,-5.55,8.11,97.95
801783.SI,股份制银行Ⅱ,银行,9,2026-06-23,4072.49,0.09,-1.21,-3.18,-2.67,0.76,13.79,115.83
801722.SI,装修装饰Ⅱ,建筑装饰,22,2026-06-23,4340.36,-0.05,0.18,1.11,-1.01,-11.44,4.81,35.47
801995.SI,电视广播Ⅱ,传媒,14,2026-06-23,1019.56,-0.07,0.36,0.47,-1.3,-16.05,4.25,26.29
801111.SI,白色家电,家用电器,10,2026-06-23,17915.41,-0.08,-1.4,-3.41,-4.29,-2.62,2.27,64.43
801971.SI,环境治理,环保,105,2026-06-23,1971.78,-0.1,0.98,0.58,3.03,-4.46,18.39,190.55
801145.SI,文娱用品,轻工制造,22,2026-06-23,1663.85,-0.12,-3.2,-5.72,-6.37,-12.28,1.9,20.75
801983.SI,医疗美容,美容护理,3,2024-06-17,1777.83,-0.25,-1.6,-3.39,-5.14,-12.4,0.11,4.67
801124.SI,食品加工,食品饮料,25,2026-06-23,12664.58,-0.31,1.02,-1.56,0.84,-6.7,3.59,36.66
801206.SI,互联网电商,商贸零售,18,2026-06-23,10058.47,-0.38,0.15,-0.64,-0.02,-9.74,3.78,33.03
801126.SI,非白酒,食品饮料,17,2026-06-23,3229.22,-0.4,-5.04,-9.88,-10.21,-13.76,1.6,19.34
801961.SI,油气开采Ⅱ,石油石化,4,2024-06-17,2108.92,-0.42,-2.4,0.96,-0.5,3.0,0.86,10.53
801181.SI,房地产开发,房地产,88,2026-06-23,2213.15,-0.43,-0.87,-2.61,-1.55,-9.48,37.29,206.29
801982.SI,化妆品,美容护理,14,2026-06-23,5803.52,-0.53,-4.21,-6.28,-5.24,-9.46,1.04,17.96
801112.SI,黑色家电,家用电器,10,2026-06-23,2084.12,-0.55,-2.35,-1.4,-0.42,-11.3,2.86,33.65
801143.SI,造纸,轻工制造,23,2026-06-23,2036.73,-0.7,-2.41,-5.65,-5.56,-11.88,6.02,32.27
801207.SI,旅游零售Ⅱ,商贸零售,2,2024-06-17,8063.33,-0.72,-3.44,-5.26,-3.13,-10.08,0.11,7.8
801191.SI,多元金融,非银金融,26,2026-06-23,1166.68,-0.73,0.08,-1.11,3.99,-6.95,10.75,76.66
801723.SI,基础建设,建筑装饰,45,2026-06-23,2150.56,-0.74,-2.55,-1.24,-1.18,-8.54,21.17,146.05
801161.SI,电力,公用事业,102,2026-06-23,3404.31,-0.83,-3.47,-4.64,-4.53,-5.85,63.62,532.46
801231.SI,综合Ⅱ,综合,15,2026-06-23,4435.57,-0.92,-1.87,1.37,4.38,-8.74,4.19,53.61
801012.SI,农产品加工,农林牧渔,22,2026-06-23,2030.87,-0.92,-3.88,-6.1,-3.54,-8.74,1.98,24.14
801769.SI,出版,传媒,29,2026-06-23,1425.53,-0.96,0.43,-2.26,-3.78,-7.4,3.47,38.84
801994.SI,教育,社会服务,15,2026-06-23,1643.57,-0.96,-3.42,-5.9,-5.99,-13.67,3.33,14.44
