排名,代码,名称,综合得分,价格趋势(35%),宽度趋势(35%),拥挤度趋势(30%),3天前得分
1,801881.SI,摩托车及其他,79.5,76.9,87.7,73.1,54.4
2,801193.SI,证券Ⅱ,78.9,91.5,97.7,42.3,74.3
3,801764.SI,游戏Ⅱ,74.6,81.5,80.8,59.2,49.9
4,801991.SI,航空机场,73.7,86.9,85.4,44.6,34.1
5,801156.SI,医疗服务,73.5,96.2,90.8,26.9,63.7
6,801081.SI,半导体,70.6,99.2,99.2,3.8,67.4
7,801111.SI,白色家电,70.1,75.4,70.8,63.1,58.9
8,801086.SI,电子化学品Ⅱ,69.9,98.5,100.0,1.5,61.7
9,801085.SI,消费电子,69.8,88.5,89.2,25.4,63.9
10,801218.SI,专业服务,69.7,83.1,70.0,53.8,80.7
11,801712.SI,玻璃玻纤,69.4,100.0,96.2,2.3,66.9
12,801014.SI,饲料,68.7,66.2,61.5,80.0,42.0
13,801084.SI,光学光电子,67.8,97.7,95.4,0.8,53.5
14,801083.SI,元件,67.6,94.6,98.5,0.0,51.9
15,801101.SI,计算机设备,67.4,87.7,69.2,41.5,70.4
16,801039.SI,非金属材料Ⅱ,67.3,96.9,91.5,4.6,63.9
17,801082.SI,其他电子Ⅱ,67.3,95.4,92.3,5.4,68.7
18,801037.SI,橡胶,67.3,93.8,80.0,21.5,70.6
19,801054.SI,小金属,66.3,92.3,94.6,3.1,67.6
20,801726.SI,工程咨询服务Ⅱ,66.0,93.1,68.5,31.5,68.8
21,801124.SI,食品加工,65.3,62.3,47.7,89.2,59.6
22,801038.SI,农化制品,65.2,78.5,63.1,52.3,41.8
23,801724.SI,专业工程,65.1,90.0,76.2,23.1,60.0
24,801019.SI,农业综合Ⅱ,65.0,24.6,93.8,78.5,29.9
25,801034.SI,化学制品,64.5,90.8,86.9,7.7,58.9
26,801072.SI,通用设备,64.2,89.2,82.3,13.8,59.2
27,801745.SI,军工电子Ⅱ,64.1,85.4,88.5,10.8,53.4
28,801033.SI,化学原料,64.1,83.8,76.9,26.2,63.0
29,801722.SI,装修装饰Ⅱ,62.6,73.8,84.6,23.8,47.1
30,801032.SI,化学纤维,62.4,80.0,83.8,16.9,46.3
31,801078.SI,自动化设备,62.2,79.2,90.0,10.0,62.3
32,801092.SI,汽车服务,61.8,33.1,71.5,83.8,46.9
33,801036.SI,塑料,61.7,82.3,86.2,9.2,69.0
34,801992.SI,航运港口,61.4,74.6,45.4,64.6,72.1
35,801981.SI,个护用品,61.3,41.5,59.2,86.9,57.5
36,801741.SI,航天装备Ⅱ,61.1,86.2,83.1,6.2,24.1
37,801102.SI,通信设备,61.0,84.6,78.5,13.1,69.7
38,801051.SI,金属新材料,60.5,70.0,93.1,11.5,69.7
39,801206.SI,互联网电商,60.2,63.8,56.9,60.0,51.4
40,801735.SI,光伏设备,60.2,76.2,74.6,24.6,48.0
41,801131.SI,纺织制造,60.2,69.2,65.4,43.8,61.2
42,801074.SI,专用设备,60.2,80.8,75.4,18.5,53.1
43,801018.SI,动物保健Ⅱ,58.7,73.1,81.5,15.4,59.6
44,801711.SI,水泥,57.9,53.8,38.5,85.4,46.3
45,801744.SI,航海装备Ⅱ,57.9,43.1,43.8,91.5,46.3
46,801141.SI,包装印刷,57.8,63.1,72.3,34.6,59.5
47,801178.SI,物流,57.5,50.0,29.2,99.2,51.8
48,801151.SI,化学制药,56.9,67.7,63.8,36.2,63.7
49,801742.SI,航空装备Ⅱ,56.0,58.5,54.6,54.6,31.8
50,801963.SI,炼化及贸易,55.9,68.5,60.8,35.4,51.1
51,801077.SI,工程机械,55.7,50.8,52.3,65.4,43.7
52,801076.SI,轨交设备Ⅱ,55.6,56.2,73.8,33.8,64.5
53,801972.SI,环保设备Ⅱ,55.1,72.3,79.2,6.9,68.3
54,801179.SI,铁路公路,54.9,45.4,28.5,96.9,50.4
55,801733.SI,其他电源设备Ⅱ,53.8,56.9,77.7,22.3,72.2
56,801961.SI,油气开采Ⅱ,52.8,77.7,13.8,69.2,47.1
57,801127.SI,饮料乳品,52.7,61.5,46.9,49.2,32.5
58,801153.SI,医疗器械,52.6,30.0,43.1,90.0,61.4
59,801784.SI,城商行Ⅱ,52.3,60.8,6.2,96.2,75.2
60,801152.SI,生物制品,52.2,46.2,55.4,55.4,60.6
61,801045.SI,特钢Ⅱ,52.1,37.7,57.7,62.3,56.2
62,801231.SI,综合Ⅱ,52.1,65.4,50.0,39.2,55.4
63,801194.SI,保险Ⅱ,51.8,34.6,96.9,19.2,35.0
64,801133.SI,饰品,51.8,29.2,33.1,100.0,51.2
65,801155.SI,中药Ⅱ,51.3,33.8,42.3,82.3,57.1
66,801132.SI,服装家纺,51.0,71.5,35.4,45.4,58.8
67,801971.SI,环境治理,50.5,52.3,48.5,50.8,61.5
68,801017.SI,养殖业,50.2,64.6,34.6,51.5,38.8
69,801743.SI,地面兵装Ⅱ,50.2,49.2,60.0,40.0,52.0
70,801191.SI,多元金融,50.0,35.4,32.3,87.7,71.5
71,801713.SI,装修建材,49.8,48.5,62.3,36.9,36.0
72,801983.SI,医疗美容,49.5,59.2,2.3,93.1,70.5
73,801129.SI,调味发酵品Ⅱ,49.4,70.8,30.0,46.9,69.5
74,801736.SI,风电设备,49.4,66.9,49.2,29.2,41.7
75,801785.SI,农商行Ⅱ,49.1,55.4,4.6,93.8,70.6
76,801117.SI,其他家电Ⅱ,48.2,40.8,13.1,97.7,63.6
77,801103.SI,IT服务Ⅱ,47.9,23.1,53.1,70.8,59.9
78,801142.SI,家居用品,47.3,40.0,66.9,33.1,43.2
79,801737.SI,电池,47.1,57.7,66.2,12.3,67.4
80,801731.SI,电机Ⅱ,45.6,3.8,67.7,68.5,40.1
81,801093.SI,汽车零部件,45.6,26.2,51.5,61.5,40.7
82,801043.SI,冶钢原料,45.5,46.9,46.2,43.1,29.0
83,801104.SI,软件开发,44.8,32.3,37.7,67.7,62.4
84,801181.SI,房地产开发,44.8,53.1,40.0,40.8,42.0
85,801143.SI,造纸,44.6,28.5,50.8,56.2,20.7
86,801112.SI,黑色家电,43.6,42.3,40.8,48.5,44.0
87,801116.SI,家电零部件Ⅱ,42.6,31.5,73.1,20.0,35.5
88,801723.SI,基础建设,41.8,36.2,33.8,57.7,41.2
89,801202.SI,贸易Ⅱ,41.0,54.6,36.2,30.8,49.4
90,801012.SI,农产品加工,40.7,11.5,23.1,95.4,52.4
91,801769.SI,出版,40.4,19.2,18.5,90.8,61.6
92,801056.SI,能源金属,40.3,43.8,56.2,17.7,56.4
93,801783.SI,股份制银行Ⅱ,40.0,44.6,8.5,71.5,68.6
