代码,名称,2026-07-22,2026-07-23,2026-07-24,2026-07-27,2026-07-28,2026-07-29,2026-07-30,2026-07-31,2026-08-03,2026-08-04,2026-08-05,2026-08-06,2026-08-07,2026-08-10,2026-08-11,2026-08-12,2026-08-13,2026-08-14,2026-08-17,2026-08-18,2026-08-19,2026-08-20,2026-08-21,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-31
801983.SI,医疗美容,66,66,66,66,66,66,66,100,100,100,100,100,100,100,100,66,66,33,33,33,33,33,33,33,33,33,0,0,0
801982.SI,化妆品,53,53,16,66,66,83,83,76,76,84,76,69,76,92,84,84,69,53,53,53,7,46,23,7,53,53,46,38,53
801981.SI,个护用品,58,50,25,50,58,75,83,83,91,91,91,83,83,91,75,66,58,41,58,62,41,75,50,25,66,41,50,50,41
801972.SI,环保设备Ⅱ,7,23,15,15,23,28,15,38,61,69,69,73,92,92,96,96,96,92,92,88,61,69,73,57,65,76,73,65,65
801971.SI,环境治理,21,35,26,33,32,48,45,56,70,79,86,88,84,92,90,89,82,78,81,77,55,68,62,53,64,74,63,72,72
801963.SI,炼化及贸易,40,56,30,33,33,60,50,73,83,83,86,96,96,96,96,93,76,80,86,93,76,83,83,80,93,90,93,96,96
801962.SI,油服工程,69,76,76,75,75,75,75,83,84,92,84,84,69,76,76,61,46,38,61,84,69,69,76,61,69,61,76,84,92
801961.SI,油气开采Ⅱ,75,75,75,50,50,50,50,50,75,75,50,75,75,75,100,100,50,50,75,75,50,75,75,75,75,75,75,75,75
801952.SI,焦炭Ⅱ,71,85,71,85,85,100,71,85,100,100,100,100,100,100,100,100,85,100,85,85,100,71,71,85,100,100,100,100,100
801951.SI,煤炭开采,96,96,80,88,65,92,84,84,69,61,61,92,84,96,100,92,73,84,88,80,84,84,88,96,92,96,96,96,96
801102.SI,通信设备,11,14,10,14,16,23,21,26,32,48,60,74,84,85,89,94,91,94,94,91,52,67,72,60,77,74,76,75,78
801223.SI,通信服务,27,35,16,21,35,45,40,56,75,86,91,97,91,94,94,97,94,94,91,91,35,37,32,27,40,32,29,29,47
801995.SI,电视广播Ⅱ,42,71,28,71,78,100,100,100,100,100,100,100,100,100,100,100,92,71,71,35,7,21,7,7,35,42,35,35,92
801769.SI,出版,41,58,37,51,65,89,89,96,96,96,93,82,72,79,68,68,65,62,62,62,41,37,31,13,31,17,6,24,58
801768.SI,社交Ⅱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801767.SI,数字媒体,28,42,0,50,50,64,64,85,85,100,100,100,100,100,100,100,92,92,92,75,21,35,28,14,35,35,28,35,78
801766.SI,影视院线,15,5,5,15,26,47,36,84,78,89,89,84,84,100,100,100,94,78,73,73,5,15,21,10,26,36,15,15,84
801765.SI,广告营销,17,37,11,44,55,59,57,85,89,92,96,92,92,96,96,96,89,92,89,80,21,32,28,17,28,25,17,28,57
801764.SI,游戏Ⅱ,19,23,0,15,15,61,42,73,76,100,100,96,96,100,96,100,92,88,76,69,34,34,23,7,19,3,7,11,34
801104.SI,软件开发,30,33,10,24,37,47,50,78,83,92,93,93,93,95,96,96,96,86,83,73,29,34,33,19,33,30,35,38,46
801103.SI,IT服务Ⅱ,28,33,15,27,35,43,40,66,75,88,97,96,95,95,95,96,95,86,86,80,27,31,23,15,26,23,27,33,45
801101.SI,计算机设备,23,25,18,29,31,48,41,62,70,81,83,91,93,91,93,93,85,82,86,81,37,50,52,35,45,41,52,51,64
801745.SI,军工电子Ⅱ,8,11,9,14,13,14,8,21,36,43,70,75,87,93,90,93,93,91,95,93,35,32,41,19,27,16,38,28,48
801744.SI,航海装备Ⅱ,10,40,40,60,50,70,70,80,80,90,90,90,100,100,100,90,80,80,80,70,10,10,30,10,50,30,80,90,80
801743.SI,地面兵装Ⅱ,16,41,50,58,50,66,66,83,83,83,91,100,100,100,100,100,100,100,100,83,33,25,33,25,33,25,50,58,58
801742.SI,航空装备Ⅱ,15,28,22,24,24,40,48,48,68,82,84,91,95,97,93,93,84,86,88,75,22,22,31,24,35,37,54,58,69
801741.SI,航天装备Ⅱ,11,11,11,11,11,22,0,22,22,33,55,66,88,100,77,88,88,100,100,100,22,11,11,0,0,0,0,0,22
801078.SI,自动化设备,3,3,3,6,7,12,12,27,41,53,72,81,94,91,97,98,93,91,94,92,59,62,60,54,58,56,59,56,63
801077.SI,工程机械,32,39,39,39,46,50,57,64,75,75,85,78,75,85,66,70,62,55,59,59,25,25,37,25,35,35,32,32,32
801076.SI,轨交设备Ⅱ,16,20,16,16,20,43,36,60,80,90,90,86,80,93,86,86,83,76,83,83,56,70,66,46,73,80,63,66,83
801074.SI,专用设备,8,14,9,15,19,28,32,45,62,74,81,85,92,95,95,96,92,90,93,89,55,65,62,51,61,61,67,66,69
